t	ldf	mean	var	multiplicity
52.500000	1.476664	-58.937553	760.515304	213.000000
53.000000	1.478736	-59.049699	753.439914	207.000000
53.500000	1.480771	-59.156346	744.680604	199.000000
54.000000	1.482749	-59.257572	736.122215	191.000000
54.500000	1.484641	-59.354731	726.259777	179.000000
55.000000	1.486517	-59.442710	718.075217	173.000000
55.500000	1.488279	-59.522706	709.809258	168.000000
56.000000	1.489991	-59.599131	702.747153	164.000000
56.500000	1.491683	-59.672380	694.351473	159.000000
57.000000	1.493299	-59.740432	687.561973	151.000000
57.500000	1.494930	-59.804381	682.750889	147.000000
58.000000	1.496520	-59.867248	677.820747	144.000000
58.500000	1.498068	-59.929587	671.961193	141.000000
59.000000	1.499594	-59.988549	667.316466	133.000000
59.500000	1.501109	-60.046118	664.302676	130.000000
60.000000	1.502574	-60.098741	661.539712	124.000000
60.500000	1.503957	-60.148401	658.854188	121.000000
61.000000	1.505346	-60.197257	655.122852	119.000000
61.500000	1.506692	-60.238827	653.423869	117.000000
62.000000	1.508008	-60.282623	651.132546	115.000000
62.500000	1.509276	-60.322243	648.733354	114.000000
63.000000	1.510559	-60.361678	646.656711	109.000000
63.500000	1.511783	-60.402801	644.078343	106.000000
64.000000	1.513008	-60.441281	641.684018	97.000000
64.500000	1.514213	-60.482655	638.063975	91.000000
65.000000	1.515396	-60.519845	635.383760	88.000000
65.500000	1.516523	-60.552851	635.255766	86.000000
66.000000	1.517625	-60.590109	633.420967	86.000000
66.500000	1.518739	-60.626258	632.980336	84.000000
67.000000	1.519805	-60.663762	631.924528	83.000000
67.500000	1.520841	-60.697265	632.002120	81.000000
68.000000	1.521912	-60.736108	631.075047	80.000000
68.500000	1.522942	-60.773047	631.715602	77.000000
69.000000	1.523961	-60.809337	632.603488	74.000000
69.500000	1.524977	-60.845890	634.349205	69.000000
70.000000	1.525953	-60.884986	636.669829	68.000000
70.500000	1.526924	-60.922440	639.824261	66.000000
71.000000	1.527897	-60.965238	642.100439	65.000000
71.500000	1.528815	-61.006301	645.352318	63.000000
72.000000	1.529751	-61.048872	648.788478	62.000000
72.500000	1.530660	-61.090588	653.244525	60.000000
73.000000	1.531567	-61.136851	656.377161	57.000000
73.500000	1.532469	-61.184126	659.349853	53.000000
74.000000	1.533353	-61.228183	663.458766	53.000000
74.500000	1.534250	-61.276358	667.066595	50.000000
75.000000	1.535129	-61.322212	669.206385	46.000000
75.500000	1.535978	-61.366843	673.941148	44.000000
76.000000	1.536822	-61.414564	676.649864	43.000000
76.500000	1.537712	-61.466498	680.880806	41.000000
77.000000	1.538562	-61.520940	682.747299	40.000000
77.500000	1.539418	-61.569866	685.428651	40.000000
78.000000	1.540254	-61.621306	687.854255	40.000000
78.500000	1.541069	-61.671954	690.434051	39.000000
79.000000	1.541868	-61.718118	693.033231	38.000000
79.500000	1.542645	-61.768613	695.512254	37.000000
80.000000	1.543440	-61.820354	698.611986	35.000000
80.500000	1.544223	-61.870468	701.364467	35.000000
81.000000	1.544997	-61.921332	703.074334	33.000000
81.500000	1.545780	-61.969350	705.825976	33.000000
82.000000	1.546564	-62.022197	708.150972	33.000000
82.500000	1.547357	-62.076190	710.577367	31.000000
83.000000	1.548092	-62.124852	714.614437	31.000000
83.500000	1.548891	-62.176050	717.947776	29.000000
84.000000	1.549660	-62.229438	721.103942	29.000000
84.500000	1.550425	-62.285418	722.687525	29.000000
85.000000	1.551208	-62.338115	723.604914	27.000000
85.500000	1.551993	-62.394401	724.251849	27.000000
86.000000	1.552803	-62.446680	723.586777	27.000000
86.500000	1.553594	-62.503018	719.963132	27.000000
87.000000	1.554427	-62.558021	716.865029	27.000000
87.500000	1.555276	-62.611086	711.373662	27.000000
88.000000	1.556129	-62.661817	705.746505	27.000000
88.500000	1.556987	-62.712616	697.537550	26.000000
89.000000	1.557832	-62.758231	689.007122	26.000000
89.500000	1.558696	-62.805470	677.417012	26.000000
90.000000	1.559547	-62.846682	665.676281	26.000000
90.500000	1.560387	-62.885674	653.719349	26.000000
91.000000	1.561234	-62.921463	641.887826	25.000000
91.500000	1.562067	-62.958092	628.807944	24.000000
92.000000	1.562896	-62.991020	613.667628	23.000000
92.500000	1.563767	-63.024838	598.714638	23.000000
93.000000	1.564612	-63.059016	583.131400	23.000000
93.500000	1.565488	-63.089480	567.937469	21.000000
94.000000	1.566343	-63.116978	553.270217	21.000000
94.500000	1.567195	-63.138340	539.990048	21.000000
95.000000	1.568058	-63.159562	527.636346	21.000000
95.500000	1.568853	-63.180116	514.400205	21.000000
96.000000	1.569654	-63.198249	501.970973	21.000000
96.500000	1.570455	-63.215041	489.666607	21.000000
97.000000	1.571266	-63.230399	478.172038	21.000000
97.500000	1.572061	-63.243852	467.507527	20.000000
98.000000	1.572841	-63.261604	456.716159	20.000000
98.500000	1.573623	-63.277969	446.983653	20.000000
99.000000	1.574392	-63.290955	437.856183	19.000000
99.500000	1.575158	-63.304419	428.318912	18.000000
100.000000	1.575903	-63.318216	420.313189	18.000000
100.500000	1.576624	-63.331322	412.696790	18.000000
101.000000	1.577354	-63.345980	405.257037	18.000000
101.500000	1.578079	-63.358728	399.481183	18.000000
102.000000	1.578791	-63.375818	393.736642	15.000000
102.500000	1.579501	-63.391835	387.389305	15.000000
103.000000	1.580171	-63.408748	381.867433	15.000000
103.500000	1.580835	-63.425837	376.228072	14.000000
104.000000	1.581519	-63.444258	371.820750	14.000000
104.500000	1.582189	-63.463829	367.104676	14.000000
105.000000	1.582842	-63.483206	362.859100	14.000000
105.500000	1.583498	-63.503313	359.564930	14.000000
106.000000	1.584161	-63.526688	356.831169	13.000000
106.500000	1.584795	-63.548499	353.785983	12.000000
107.000000	1.585449	-63.571727	350.786122	12.000000
107.500000	1.586056	-63.595016	348.630378	11.000000
108.000000	1.586691	-63.621246	346.383712	11.000000
108.500000	1.587340	-63.649466	344.088338	11.000000
109.000000	1.587950	-63.674789	342.477153	11.000000
109.500000	1.588546	-63.700151	341.054467	10.000000
110.000000	1.589145	-63.727321	339.473203	10.000000
110.500000	1.589744	-63.753034	338.026432	10.000000
111.000000	1.590320	-63.776207	336.582418	10.000000
111.500000	1.590890	-63.801901	335.699599	10.000000
112.000000	1.591463	-63.825893	335.411943	10.000000
112.500000	1.592019	-63.853287	334.379312	10.000000
113.000000	1.592584	-63.878043	333.114258	10.000000
113.500000	1.593148	-63.902598	331.829936	10.000000
114.000000	1.593698	-63.925779	331.249833	10.000000
114.500000	1.594247	-63.951014	329.182249	10.000000
115.000000	1.594774	-63.974126	327.691549	10.000000
115.500000	1.595321	-63.996689	326.701898	10.000000
116.000000	1.595853	-64.021199	325.899297	10.000000
116.500000	1.596356	-64.043515	326.280205	10.000000
117.000000	1.596893	-64.068835	325.792356	10.000000
117.500000	1.597405	-64.093488	324.972038	10.000000
118.000000	1.597905	-64.115842	324.650665	10.000000
118.500000	1.598395	-64.141399	324.316491	10.000000
119.000000	1.598880	-64.164911	323.759823	10.000000
119.500000	1.599345	-64.188605	323.158018	10.000000
120.000000	1.599822	-64.212705	322.855691	10.000000
120.500000	1.600275	-64.237176	323.115925	10.000000
121.000000	1.600712	-64.261022	322.827785	10.000000
121.500000	1.601158	-64.285364	322.434402	9.000000
122.000000	1.601593	-64.308674	321.431742	9.000000
122.500000	1.602008	-64.332396	320.517030	9.000000
123.000000	1.602416	-64.353942	320.204147	9.000000
123.500000	1.602846	-64.374464	319.582342	8.000000
124.000000	1.603239	-64.393444	319.193649	8.000000
124.500000	1.603634	-64.412660	318.481901	8.000000
125.000000	1.604021	-64.430730	317.618449	8.000000
125.500000	1.604398	-64.449587	316.189275	8.000000
126.000000	1.604760	-64.466240	315.292555	8.000000
126.500000	1.605117	-64.483321	313.876055	8.000000
127.000000	1.605503	-64.500559	313.055484	8.000000
127.500000	1.605907	-64.517606	311.231947	8.000000
128.000000	1.606271	-64.532805	310.357755	8.000000
128.500000	1.606638	-64.546224	309.178190	8.000000
129.000000	1.606982	-64.559325	307.549451	7.000000
129.500000	1.607323	-64.572127	305.916087	7.000000
130.000000	1.607656	-64.581725	304.595288	7.000000
130.500000	1.607994	-64.591079	302.757190	7.000000
131.000000	1.608341	-64.600425	301.428188	7.000000
131.500000	1.608688	-64.608891	299.519441	7.000000
132.000000	1.609011	-64.616898	297.834191	7.000000
132.500000	1.609330	-64.625351	296.028033	7.000000
133.000000	1.609640	-64.635158	294.815722	7.000000
133.500000	1.609979	-64.645289	293.323337	7.000000
134.000000	1.610317	-64.654463	291.909882	7.000000
134.500000	1.610664	-64.662821	291.529046	7.000000
135.000000	1.610974	-64.673450	290.481245	7.000000
135.500000	1.611273	-64.683423	289.590036	7.000000
136.000000	1.611583	-64.693005	289.143425	7.000000
136.500000	1.611874	-64.703447	288.438935	7.000000
137.000000	1.612181	-64.713950	287.041569	7.000000
137.500000	1.612459	-64.723850	286.619572	7.000000
138.000000	1.612776	-64.737200	286.395816	7.000000
138.500000	1.613070	-64.749329	286.814485	7.000000
139.000000	1.613376	-64.762183	287.380771	7.000000
